timestamp,left_ear,right_ear,avg_ear,is_blinking,blink_count,h_gaze,v_gaze,left_pupil_x,left_pupil_y,right_pupil_x,right_pupil_y,iris_relative_x,iris_relative_y
1743122684.1404219,0.5775534619019322,0.5710586272976665,0.5743060445997994,False,9,Left,Down,520,318,653,317,-0.0343583791602884,0.09983445961878729
1743122684.172528,0.5798218956861815,0.576900127787386,0.5783610117367837,False,9,Left,Down,520,319,653,318,-0.03522563837972384,0.09468821828423907
1743122684.205982,0.5517220212734338,0.5697876471654602,0.560754834219447,False,9,Left,Down,520,319,655,318,-0.032642726589697024,0.09958783966251067
1743122684.240204,0.4614932112308818,0.5036129762882452,0.48255309375956346,False,9,Left,Down,522,320,658,319,-0.005978421827925736,0.07218230659874886
1743122684.2731771,0.4694479255985753,0.48902186831769995,0.4792348969581376,False,9,Left,Down,524,321,659,319,0.003970499780111145,0.01385360927584306
1743122684.306411,0.491546621773741,0.5059050876027371,0.49872585468823905,False,9,Left,Down,525,321,659,320,0.016080678687589025,0.014425273224572044
1743122684.340671,0.5001769751657026,0.5155160140965762,0.5078464946311394,False,9,Left,Down,525,321,659,320,0.010930595648224642,0.010917727521487619
1743122684.373548,0.527087713408164,0.5319591667025833,0.5295234400553737,False,9,Left,Down,525,321,660,320,0.01627080152434729,0.010792652577003514
1743122684.406327,0.5052960555353029,0.5090821866888635,0.5071891211120831,False,9,Left,Down,527,322,661,321,0.026925436767047714,0.017545492267953045
1743122684.438886,0.4934112706124655,0.49405466061447234,0.4937329656134689,False,9,Left,Down,527,322,661,321,0.03051991608041331,0.025830743682091872
1743122684.4716532,0.4904077126439437,0.48912328601091465,0.4897654993274292,False,9,Left,Down,528,322,662,321,0.030590474973572687,0.03111544862704313
1743122684.5073228,0.511334371898557,0.508908843537415,0.510121607717986,False,9,Left,Down,528,322,662,321,0.02807214128776301,0.028120614411888345
1743122684.539843,0.5023395893540127,0.5284708273689513,0.515405208361482,False,9,Left,Down,528,322,662,322,0.03158616104132594,0.032351023247721156
1743122684.574532,0.484136497032037,0.5337212039469917,0.5089288504895144,False,9,Left,Down,528,323,662,322,0.032525618081765025,0.04096376128430784
1743122684.607454,0.4854816466224152,0.5256313874008763,0.5055565170116458,False,9,Right,Down,528,323,662,322,0.035813214831987045,0.043463593037307235
1743122684.639468,0.4936672044892835,0.5391126441150069,0.5163899243021453,False,9,Right,Down,529,323,662,322,0.0461276334919022,0.021348675924731497
1743122684.672891,0.4780142364423571,0.5371598296806384,0.5075870330614978,False,9,Right,Down,529,324,662,323,0.0397243337425793,0.019593621884271883
1743122684.705756,0.5082884362637378,0.5251571156228367,0.5167227759432873,False,9,Right,Down,530,324,662,323,0.043412666744556905,0.02601316114677893
1743122684.739962,0.5143802463495988,0.536268349465719,0.5253242979076589,False,9,Right,Down,529,324,662,323,0.04097218273770111,0.051574866052252866
1743122684.7730901,0.5159344772574851,0.535181345421139,0.5255579113393121,False,9,Right,Down,530,324,663,323,0.046533763194655756,0.03410374110644493
1743122684.807433,0.5207050582302556,0.546154667996225,0.5334298631132404,False,9,Right,Down,530,323,663,323,0.04541065033860279,0.0507250597390006
1743122684.840435,0.5320026565076177,0.558846018171591,0.5454243373396044,False,9,Right,Down,530,323,663,323,0.0479359571364254,0.03475219330527596
1743122684.873045,0.5241910146616034,0.5659548191421597,0.5450729169018815,False,9,Right,Down,530,323,663,323,0.049801717574750645,0.02712126151153421
